sample_index,config_index,config_name,velocity_index,U,Re,Ca,E,h,t,theta1_deg,theta2_deg,theta3_deg,D,H,L,H_soft,b,N_per_col,Cd_soft_prior,Cd_cyl_prior,F_exp,F_matlab_iter,F_matlab_pre,F_total_rigid,F_total_Ca,F_leaf_iter,Fcol_1,Fcol_2,Fcol_3,shielding_coef_matlab,angle_diff_deg_matlab
0,0,PVC_20_0,0,0.05,1250.0,0.15360000000000004,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.07093784862744457,0.03363458168920886,0.03913489478363603,0.043266016151377554,0.09012111068873974,0.02622957405265238,0.0008135348621951934,0.012708019595228603,0.012708019595228586,0.9039982308571836,100.7996461714367
1,0,PVC_20_0,1,0.07500000000000001,1875.0,0.34560000000000013,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.17443149382711456,0.0743877496643835,0.08714362946431617,0.0973485363405995,0.1593408879271548,0.057521507099168596,0.001869760220485545,0.02782587343934151,0.027825873439341543,0.9087177823789735,101.7435564757947
2,0,PVC_20_0,2,0.1,2500.0,0.6144000000000002,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.1479500413426891,0.1291707719098964,0.15272539363043738,0.17306406460551021,0.2398573306826115,0.09872965950676937,0.003428105932131184,0.04765077678731898,0.04765077678731921,0.9148201168894032,102.96402337788064
3,0,PVC_20_0,3,0.125,3125.0,0.9600000000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.20464741146569665,0.19603717210976968,0.23442877910579157,0.27041260094610964,0.3304243481718545,0.14768439033831104,0.005584338421375887,0.07105002595846813,0.07105002595846702,0.9218372104214625,104.36744208429249
4,0,PVC_20_0,4,0.15000000000000002,3750.0,1.3824000000000005,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.27024668268378355,0.27295162635199677,0.33067877328273865,0.389394145362398,0.4302381918676797,0.2021811525181284,0.008491037751616746,0.09684505738325472,0.09684505738325694,0.9292217243570261,105.84434487140523
5,0,PVC_20_0,5,0.175,4375.0,1.8816,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.3938428466725199,0.35808349319024624,0.44000512251048046,0.5300086978543749,0.5387290841943244,0.2603143559245964,0.012395291803479454,0.12395953206055788,0.12395953206055904,0.9363734873531385,107.2746974706277
6,0,PVC_20_0,6,0.2,5000.0,2.4576000000000007,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.43085382840239816,0.45006985578536673,0.5612945763728885,0.6922562584220409,0.6554680473544892,0.32076194774784295,0.01771606151737394,0.15152294311523476,0.15152294311523426,0.9426351430102187,108.52702860204374
7,0,PVC_20_0,7,0.22500000000000003,5625.0,3.110400000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.618007323909936,0.5482565351214791,0.6940913106532945,0.8761368270653956,0.7801182642646856,0.383043866414543,0.025219960371832426,0.17891195302134952,0.17891195302136106,0.9472165993742345,109.4433198748469
8,0,PVC_20_0,8,0.25,6250.0,3.8400000000000003,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,0.8448036358001367,0.6530832629063898,0.8391246520847244,1.0816504037844386,0.912406945127233,0.4479606099439089,0.03648537016573306,0.20573761988908829,0.20573761988908756,0.9489527144176125,109.7905428835225
9,0,PVC_20_0,9,0.275,6875.0,4.646400000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.050018073869392,0.7673264976503289,0.9998211177909846,1.308796988579171,1.0521078114402376,0.519046208114782,0.05544403424345191,0.2318010869356668,0.2318010869356632,0.945531055823059,109.10621116461179
10,0,PVC_20_0,10,0.3,7500.0,5.529600000000001,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.2444380169698588,0.9026069207730054,1.1891800626405722,1.5575765814495917,1.1990295658094186,0.6100714226361499,0.09599050907111661,0.25704045678252413,0.25704045678250914,0.9301102165471802,106.02204330943604
11,0,PVC_20_0,11,0.32499999999999996,8125.0,6.4895999999999985,12500000.0,0.02,0.002,20.0,120.0,240.0,0.025,0.23,0.08,0.2,0.0275,5.0,2.0,1.2,1.3540567027639763,1.1405386357224132,1.4811381544484834,1.8279891823957009,1.3530079627445366,0.8130401085129485,0.2500753156555241,0.28148239642870604,0.2814823964287184,0.8688808847061124,93.77617694122247
