idx,v,Hc,Dc,L,Re_cyl,Re_soft,Ca,Cd_cyl,Cd_soft,y_true,y_pred,F_cyl_pred,F_soft_pred,F_soft_pred_col1,F_soft_pred_col2,F_soft_pred_col3,Fc1(F@Cd=1),Fs1(F@Cd=1),Fs1_col1,Fs1_col2,Fs1_col3
0,0.25,0.23,0.025,0.08,6250,20000,9.6,1.3232,2.09456,1.02497,1.10458,0.237762,0.866821,0.43467,0,0.432151,0.179688,0.328527,0.164741,0,0.163786
1,0.275,0.23,0.025,0.08,6875,22000,11.616,1.32266,1.98276,1.38758,1.28047,0.287576,0.992896,0.498198,0,0.494698,0.217422,0.398488,0.199946,0,0.198541
2,0.175,0.23,0.025,0.08,4375,14000,4.704,1.32571,2.5464,0.583701,0.685819,0.116724,0.569095,0.28495,0,0.284145,0.0880469,0.160032,0.0801291,0,0.0799028
3,0.075,0.23,0.025,0.08,1875,6000,0.864,1.33689,3.62705,0.24826,0.235132,0.02162,0.213512,0.106784,0,0.106728,0.0161719,0.0292586,0.0146331,0,0.0146255
4,0.5,0.23,0.025,0.08,12500,40000,38.4,1.32027,1.3853,2.39894,2.42885,0.948943,1.4799,0.748888,0,0.731014,0.71875,1.36118,0.688812,0,0.672372
5,0.2,0.23,0.025,0.08,5000,16000,6.144,1.32466,2.37192,0.828838,0.812806,0.152336,0.66047,0.330846,0,0.329624,0.115,0.209384,0.104886,0,0.104498
6,0.4,0.23,0.025,0.08,10000,32000,24.576,1.321,1.58716,1.93129,1.97618,0.60766,1.36852,0.689455,0,0.679065,0.46,0.856479,0.431491,0,0.424988
7,0.1,0.23,0.025,0.08,2500,8000,1.536,1.33199,3.28947,0.333762,0.339405,0.0382948,0.30111,0.150624,0,0.150486,0.02875,0.0520571,0.0260405,0,0.0260166
8,0.225,0.23,0.025,0.08,5625,18000,7.776,1.32385,2.22298,0.89219,0.950419,0.192682,0.757737,0.379758,0,0.377979,0.145547,0.265522,0.133073,0,0.13245
9,0.3,0.23,0.025,0.08,7500,24000,13.824,1.32222,1.88455,1.594,1.47344,0.342124,1.13131,0.568036,0,0.563275,0.25875,0.475503,0.238752,0,0.236751
10,0.375,0.23,0.025,0.08,9375,30000,21.6,1.32124,1.65019,1.97196,1.90692,0.534175,1.37275,0.690935,0,0.681811,0.404297,0.750033,0.377509,0,0.372524
11,0.15,0.23,0.025,0.08,3750,12000,3.456,1.3271,2.75271,0.542601,0.565524,0.0858469,0.479677,0.240087,0,0.23959,0.0646875,0.117398,0.0587601,0,0.0586384
12,0.35,0.23,0.025,0.08,8750,28000,18.816,1.32152,1.71993,1.73857,1.8069,0.465424,1.34147,0.674605,0,0.666867,0.352187,0.651149,0.327452,0,0.323696
13,0.425,0.23,0.025,0.08,10625,34000,27.744,1.32079,1.52987,2.05187,2.04395,0.68588,1.35807,0.684878,0,0.673188,0.519297,0.970642,0.489498,0,0.481144
14,0.325,0.23,0.025,0.08,8125,26000,16.224,1.32184,1.79756,1.53614,1.65922,0.401407,1.25781,0.632021,0,0.625788,0.303672,0.559683,0.281228,0,0.278455
15,0.125,0.23,0.025,0.08,3125,10000,2.4,1.32906,2.99816,0.44742,0.450077,0.0597037,0.390373,0.195327,0,0.195046,0.0449219,0.0814235,0.040741,0,0.0406825
16,0.05,0.23,0.025,0.08,1250,4000,0.384,1.34672,3.99005,0.173359,0.141006,0.00967952,0.131326,0.0656707,0,0.0656556,0.0071875,0.0129963,0.00649892,0,0.00649743
17,0.45,0.23,0.025,0.08,11250,36000,31.104,1.32059,1.47754,2.26277,2.13587,0.768833,1.36704,0.690145,0,0.676895,0.582188,1.09269,0.551641,0,0.541051
18,0.475,0.23,0.025,0.08,11875,38000,34.656,1.32042,1.42953,2.33386,2.26424,0.856521,1.40772,0.711496,0,0.696224,0.648672,1.22281,0.618037,0,0.604771
