idx,v,Hc,Dc,L,Re_cyl,Re_soft,Cd_cyl,Cd_soft,y_true,y_pred,F_cyl_pred,F_soft_pred,F_soft_pred_col1,F_soft_pred_col2,F_soft_pred_col3,Fc1(F@Cd=1),Fs1(F@Cd=1),Fs1_col1,Fs1_col2,Fs1_col3
0,0.05,0.23,0.025,0.08,1250,4000,1.16662,1.86946,0.00582238,0.24911,0.00838506,0.240725,0.120363,0,0.120363,0.0071875,0.0173205,0.00866025,0,0.00866025
1,0.1,0.23,0.025,0.08,2500,8000,1.15516,1.86495,0.285458,0.37449,0.0332109,0.341279,0.170639,0,0.170639,0.02875,0.069282,0.034641,0,0.034641
2,0.5,0.23,0.025,0.08,12500,40000,1.14604,1.86135,4.23012,4.12548,0.823719,3.30176,1.65088,0,1.65088,0.71875,1.73205,0.866025,0,0.866025
3,0.15,0.23,0.025,0.08,3750,12000,1.15136,1.86345,0.358435,0.574343,0.0744785,0.499865,0.249932,0,0.249932,0.0646875,0.155885,0.0779423,0,0.0779423
4,0.225,0.23,0.025,0.08,5625,18000,1.14883,1.86245,0.955934,1.01192,0.167208,0.84471,0.422355,0,0.422355,0.145547,0.35074,0.17537,0,0.17537
5,0.3,0.23,0.025,0.08,7500,24000,1.14756,1.86195,1.58793,1.61494,0.296931,1.31801,0.659003,0,0.659003,0.25875,0.623538,0.311769,0,0.311769
6,0.475,0.23,0.025,0.08,11875,38000,1.14616,1.8614,3.42497,3.73331,0.743484,2.98983,1.49491,0,1.49491,0.648672,1.56318,0.781588,0,0.781588
7,0.175,0.23,0.025,0.08,4375,14000,1.15027,1.86303,0.78148,0.701916,0.101278,0.600638,0.300319,0,0.300319,0.0880469,0.212176,0.106088,0,0.106088
8,0.075,0.23,0.025,0.08,1875,6000,1.15897,1.86645,0.358567,0.302435,0.0187428,0.283693,0.141846,0,0.141846,0.0161719,0.0389711,0.0194856,0,0.0194856
9,0.125,0.23,0.025,0.08,3125,10000,1.15288,1.86405,0.193489,0.465164,0.0517895,0.413375,0.206687,0,0.206687,0.0449219,0.108253,0.0541266,0,0.0541266
10,0.425,0.23,0.025,0.08,10625,34000,1.14644,1.86151,2.91273,3.01778,0.595345,2.42244,1.21122,0,1.21122,0.519297,1.25141,0.625703,0,0.625703
11,0.275,0.23,0.025,0.08,6875,22000,1.14791,1.86209,1.22585,1.39524,0.24958,1.14566,0.572829,0,0.572829,0.217422,0.523945,0.261973,0,0.261973
12,0.45,0.23,0.025,0.08,11250,36000,1.1463,1.86145,3.16941,3.36408,0.667359,2.69672,1.34836,0,1.34836,0.582188,1.40296,0.701481,0,0.701481
13,0.2,0.23,0.025,0.08,5000,16000,1.14946,1.8627,0.802272,0.847789,0.132188,0.715601,0.3578,0,0.3578,0.115,0.277128,0.138564,0,0.138564
14,0.325,0.23,0.025,0.08,8125,26000,1.14727,1.86184,1.65542,1.85396,0.348393,1.50557,0.752784,0,0.752784,0.303672,0.731791,0.365896,0,0.365896
15,0.35,0.23,0.025,0.08,8750,28000,1.14702,1.86174,2.10884,2.11299,0.403966,1.70903,0.854514,0,0.854514,0.352187,0.848705,0.424352,0,0.424352
16,0.4,0.23,0.025,0.08,10000,32000,1.14661,1.86158,2.80897,2.69419,0.527442,2.16674,1.08337,0,1.08337,0.46,1.10851,0.554256,0,0.554256
17,0.375,0.23,0.025,0.08,9375,30000,1.1468,1.86165,2.50627,2.39281,0.463648,1.92916,0.964582,0,0.964582,0.404297,0.974279,0.487139,0,0.487139
18,0.25,0.23,0.025,0.08,6250,20000,1.14832,1.86225,1.02747,1.19434,0.206339,0.988006,0.494003,0,0.494003,0.179688,0.433013,0.216506,0,0.216506
