idx,v,Hc,Dc,L,Re_cyl,Re_soft,Ca,Cd_cyl,Cd_soft,y_true,y_pred,F_cyl_pred,F_soft_pred,F_soft_pred_col1,F_soft_pred_col2,F_soft_pred_col3,Fc1(F@Cd=1),Fs1(F@Cd=1),Fs1_col1,Fs1_col2,Fs1_col3
0,0.2,0.23,0.025,0.08,5000,16000,0.24576,1.39502,2.67073,0.423451,0.616138,0.160427,0.455711,0.227864,0,0.227847,0.115,0.103938,0.0519711,0,0.0519673
1,0.45,0.23,0.025,0.08,11250,36000,1.24416,1.39641,2.58639,2.10558,2.33511,0.812974,1.52214,0.761209,0,0.760926,0.582188,0.526502,0.2633,0,0.263202
2,0.5,0.23,0.025,0.08,12500,40000,1.536,1.39652,2.56908,2.60497,2.82704,1.00375,1.82329,0.911855,0,0.911437,0.71875,0.650116,0.325133,0,0.324983
3,0.4,0.23,0.025,0.08,10000,32000,0.98304,1.39627,2.60399,1.59027,1.89215,0.642286,1.24986,0.625021,0,0.624838,0.46,0.415937,0.207999,0,0.207938
4,0.375,0.23,0.025,0.08,9375,30000,0.864,1.39619,2.61284,1.70624,1.68852,0.564475,1.12404,0.562093,0,0.561948,0.404297,0.365543,0.182795,0,0.182748
5,0.325,0.23,0.025,0.08,8125,26000,0.64896,1.39598,2.63042,1.28773,1.31752,0.423921,0.893595,0.446841,0,0.446754,0.303672,0.274528,0.137277,0,0.137251
6,0.1,0.23,0.025,0.08,2500,8000,0.06144,1.39251,2.69266,0.161315,0.290802,0.0400348,0.250767,0.125385,0,0.125382,0.02875,0.0259817,0.012991,0,0.0129907
7,0.35,0.23,0.025,0.08,8750,28000,0.75264,1.39609,2.62166,1.26794,1.49686,0.491687,1.00517,0.502642,0,0.502529,0.352187,0.318408,0.159222,0,0.159186
8,0.15,0.23,0.025,0.08,3750,12000,0.13824,1.39418,2.68347,0.242094,0.427446,0.0901863,0.33726,0.168633,0,0.168626,0.0646875,0.0584615,0.0292314,0,0.0292302
9,0.05,0.23,0.025,0.08,1250,4000,0.01536,1.38751,2.69574,0.0708789,0.206389,0.00997271,0.196416,0.0982082,0,0.0982077,0.0071875,0.00649525,0.00324763,0,0.00324762
10,0.425,0.23,0.025,0.08,10625,34000,1.10976,1.39635,2.59516,2.14289,2.10763,0.725119,1.38251,0.691372,0,0.691143,0.519297,0.469589,0.234833,0,0.234756
11,0.125,0.23,0.025,0.08,3125,10000,0.096,1.39352,2.68861,0.219496,0.352614,0.0625994,0.290014,0.145009,0,0.145005,0.0449219,0.0405973,0.0202989,0,0.0202983
12,0.175,0.23,0.025,0.08,4375,14000,0.18816,1.39466,2.67746,0.49986,0.515283,0.122796,0.392487,0.196249,0,0.196238,0.0880469,0.079575,0.0397886,0,0.0397864
13,0.3,0.23,0.025,0.08,7500,24000,0.55296,1.39586,2.63904,0.827272,1.15092,0.361178,0.789746,0.394906,0,0.39484,0.25875,0.233904,0.116962,0,0.116942
14,0.075,0.23,0.025,0.08,1875,6000,0.03456,1.39084,2.6953,0.121212,0.242045,0.0224926,0.219552,0.109777,0,0.109776,0.0161719,0.0146145,0.00730728,0,0.0073072
15,0.475,0.23,0.025,0.08,11875,38000,1.38624,1.39647,2.57769,2.57482,2.57483,0.905852,1.66898,0.834661,0,0.834316,0.648672,0.586677,0.293399,0,0.293278
16,0.225,0.23,0.025,0.08,5625,18000,0.31104,1.3953,2.66341,0.668219,0.73006,0.203081,0.526979,0.263502,0,0.263477,0.145547,0.131552,0.0657791,0,0.065773
17,0.275,0.23,0.025,0.08,6875,22000,0.46464,1.3957,2.64747,0.94568,0.997413,0.303457,0.693956,0.347002,0,0.346954,0.217422,0.196534,0.0982739,0,0.0982602
18,0.25,0.23,0.025,0.08,6250,20000,0.384,1.39552,2.65563,0.662571,0.857127,0.250758,0.606369,0.303202,0,0.303167,0.179688,0.162417,0.0812132,0,0.0812039
